LagTime	Correlation

0	1.3596
0.1	1.35459
0.2	1.34709
0.3	1.33903
0.4	1.33088
0.5	1.32277
0.6	1.31471
0.7	1.30673
0.8	1.29882
0.9	1.29098
1	1.28321
1.1	1.27551
1.2	1.26787
1.3	1.26029
1.4	1.25278
1.5	1.24534
1.6	1.23796
1.7	1.23065
1.8	1.22339
1.9	1.2162
2	1.20908
2.1	1.20203
2.2	1.19504
2.3	1.18811
2.4	1.18124
2.5	1.17443
2.6	1.16768
2.7	1.161
2.8	1.15438
2.9	1.14782
3	1.14132
3.1	1.13486
3.2	1.12845
3.3	1.1221
3.4	1.1158
3.5	1.10955
3.6	1.10335
3.7	1.0972
3.8	1.0911
3.9	1.08505
4	1.07906
4.1	1.07312
4.2	1.06722
4.3	1.06137
4.4	1.05556
4.5	1.0498
4.6	1.04409
4.7	1.03841
4.8	1.03279
4.9	1.02722
5	1.0217
5.1	1.01621
5.2	1.01078
5.3	1.00538
5.4	1.00002
5.5	0.994702
5.6	0.98942
5.7	0.984174
5.8	0.978966
5.9	0.9738
6	0.968673
6.1	0.963582
6.2	0.958534
6.3	0.95353
6.4	0.948564
6.5	0.943636
6.6	0.938742
6.7	0.933881
6.8	0.929053
6.9	0.924259
7	0.919498
7.1	0.914773
7.2	0.910085
7.3	0.905436
7.4	0.900823
7.5	0.896245
7.6	0.8917
7.7	0.887184
7.8	0.8827
7.9	0.878253
8	0.873841
8.1	0.869467
8.2	0.865124
8.3	0.860817
8.4	0.856542
8.5	0.852298
8.6	0.848088
8.7	0.843909
8.8	0.839763
8.9	0.835653
9	0.831582
9.1	0.827546
9.2	0.823542
9.3	0.819566
9.4	0.81562
9.5	0.811705
9.6	0.807817
9.7	0.803957
9.8	0.800126
9.9	0.796324
10	0.792546
10.1	0.788796
10.2	0.78507
10.3	0.781371
10.4	0.777692
10.5	0.774036
10.6	0.770409
10.7	0.766804
10.8	0.763226
10.9	0.759677
11	0.756159
11.1	0.752665
11.2	0.749193
11.3	0.745744
11.4	0.742317
11.5	0.738919
11.6	0.735544
11.7	0.73219
11.8	0.728855
11.9	0.725539
12	0.72224
12.1	0.718963
12.2	0.7157
12.3	0.712456
12.4	0.709233
12.5	0.706033
12.6	0.702858
12.7	0.699705
12.8	0.696576
12.9	0.693468
13	0.690381
13.1	0.687315
13.2	0.684278
13.3	0.681258
13.4	0.678255
13.5	0.67527
13.6	0.672307
13.7	0.669358
13.8	0.666425
13.9	0.663508
14	0.660608
14.1	0.657729
14.2	0.654871
14.3	0.652039
14.4	0.649234
14.5	0.646453
14.6	0.643691
14.7	0.640948
14.8	0.638223
14.9	0.635512
15	0.632816
15.1	0.630141
15.2	0.627493
15.3	0.624873
15.4	0.622273
15.5	0.619696
15.6	0.61714
15.7	0.614602
