LagTime	Correlation

0	0.66833
0.1	0.663311
0.2	0.655829
0.3	0.647802
0.4	0.639711
0.5	0.631678
0.6	0.623735
0.7	0.615885
0.8	0.608129
0.9	0.600469
1	0.592902
1.1	0.585429
1.2	0.578044
1.3	0.570747
1.4	0.563544
1.5	0.556436
1.6	0.549412
1.7	0.542475
1.8	0.535623
1.9	0.528856
2	0.522176
2.1	0.515583
2.2	0.509077
2.3	0.502657
2.4	0.49632
2.5	0.490065
2.6	0.48389
2.7	0.477787
2.8	0.471756
2.9	0.465797
3	0.459912
3.1	0.454101
3.2	0.448365
3.3	0.442697
3.4	0.437098
3.5	0.431567
3.6	0.426107
3.7	0.420719
3.8	0.4154
3.9	0.410149
4	0.404964
4.1	0.399841
4.2	0.394778
4.3	0.389775
4.4	0.384836
4.5	0.379964
4.6	0.375152
4.7	0.3704
4.8	0.365706
4.9	0.361067
5	0.356485
5.1	0.351954
5.2	0.34748
5.3	0.343063
5.4	0.338698
5.5	0.334384
5.6	0.330122
5.7	0.325916
5.8	0.321765
5.9	0.317668
6	0.313625
6.1	0.30963
6.2	0.305682
6.3	0.30178
6.4	0.297926
6.5	0.294124
6.6	0.29037
6.7	0.286663
6.8	0.282999
6.9	0.279381
7	0.275805
7.1	0.272265
7.2	0.26876
7.3	0.265295
7.4	0.26187
7.5	0.258486
7.6	0.255145
7.7	0.251849
7.8	0.248593
7.9	0.245376
8	0.242201
8.1	0.239067
8.2	0.235972
8.3	0.23291
8.4	0.229889
8.5	0.226909
8.6	0.223967
8.7	0.221064
8.8	0.218199
8.9	0.21537
9	0.212572
9.1	0.209806
9.2	0.207071
9.3	0.204373
9.4	0.201713
9.5	0.199087
9.6	0.196497
9.7	0.193941
9.8	0.191419
9.9	0.188936
10	0.186488
10.1	0.184071
10.2	0.181684
10.3	0.179326
10.4	0.176997
10.5	0.1747
10.6	0.172433
10.7	0.170192
10.8	0.167979
10.9	0.165798
11	0.163646
11.1	0.16152
11.2	0.159423
11.3	0.157356
11.4	0.155315
11.5	0.153293
11.6	0.151294
11.7	0.149321
11.8	0.147372
11.9	0.145454
12	0.143563
12.1	0.1417
12.2	0.139866
12.3	0.138052
12.4	0.136267
12.5	0.134506
12.6	0.132767
12.7	0.13105
12.8	0.129353
12.9	0.127677
13	0.126021
13.1	0.124385
13.2	0.122775
13.3	0.121191
13.4	0.119628
13.5	0.118085
13.6	0.116565
13.7	0.115061
13.8	0.113574
13.9	0.112105
14	0.110665
14.1	0.10925
14.2	0.107856
14.3	0.106479
14.4	0.105124
14.5	0.10379
14.6	0.102473
14.7	0.101172
14.8	0.0998864
14.9	0.0986182
15	0.0973641
15.1	0.0961257
15.2	0.0949007
15.3	0.0936948
15.4	0.092509
15.5	0.0913382
15.6	0.0901795
15.7	0.0890375
15.8	0.0879138
15.9	0.0868098
16	0.085718
16.1	0.084639
16.2	0.0835717
16.3	0.0825179
16.4	0.0814737
16.5	0.0804406
16.6	0.0794197
16.7	0.0784122
16.8	0.0774215
16.9	0.0764468
17	0.0754856
17.1	0.0745358
17.2	0.0736007
17.3	0.0726796
17.4	0.0717667
17.5	0.0708618
17.6	0.0699663
17.7	0.0690866
17.8	0.0682194
17.9	0.0673616
18	0.0665087
18.1	0.0656635
18.2	0.0648286
18.3	0.0640074
18.4	0.0631983
18.5	0.0623982
18.6	0.0616077
18.7	0.0608303
18.8	0.0600702
18.9	0.0593223
19	0.0585852
19.1	0.057861
19.2	0.0571511
19.3	0.0564528
19.4	0.0557673
19.5	0.0550934
19.6	0.0544292
19.7	0.0537721
19.8	0.0531243
19.9	0.0524848
20	0.0518541
20.1	0.0512388
20.2	0.0506315
20.3	0.0500278
20.4	0.0494259
20.5	0.0488247
20.6	0.0482233
20.7	0.0476254
20.8	0.0470326
20.9	0.0464525
21	0.0458837
21.1	0.0453206
21.2	0.0447672
21.3	0.04422
21.4	0.0436784
21.5	0.0431461
21.6	0.0426197
21.7	0.0420998
21.8	0.0415818
21.9	0.0410635
22	0.0405501
22.1	0.0400428
22.2	0.039539
22.3	0.0390451
22.4	0.0385576
22.5	0.0380772
22.6	0.0376063
22.7	0.0371374
22.8	0.0366684
22.9	0.0362008
23	0.0357323
23.1	0.0352653
23.2	0.034801
23.3	0.0343381
23.4	0.0338763
23.5	0.0334174
23.6	0.032964
23.7	0.0325166
23.8	0.0320722
23.9	0.0316352
24	0.031204
24.1	0.0307798
24.2	0.0303586
24.3	0.0299412
24.4	0.0295327
24.5	0.0291313
24.6	0.0287367
24.7	0.0283415
24.8	0.0279477
24.9	0.027564
25	0.0271861
25.1	0.0268106
25.2	0.026434
25.3	0.026061
25.4	0.0256946
25.5	0.0253305
25.6	0.0249712
25.7	0.0246158
25.8	0.0242675
25.9	0.0239257
26	0.0235876
26.1	0.0232472
26.2	0.0229087
26.3	0.0225732
26.4	0.0222423
26.5	0.0219186
26.6	0.0216036
26.7	0.021299
26.8	0.0209947
26.9	0.0206917
27	0.0203923
27.1	0.0200924
27.2	0.0197946
27.3	0.0194984
27.4	0.0192013
27.5	0.0189078
27.6	0.0186168
27.7	0.0183323
27.8	0.0180509
27.9	0.0177742
28	0.0175018
28.1	0.0172316
28.2	0.0169612
28.3	0.0166934
28.4	0.0164292
28.5	0.0161651
28.6	0.0159015
28.7	0.0156354
28.8	0.015366
28.9	0.0150919
29	0.0148168
29.1	0.014543
29.2	0.0142724
29.3	0.0140003
29.4	0.013731
29.5	0.0134636
29.6	0.0132021
29.7	0.0129471
29.8	0.0126967
29.9	0.0124467
30	0.0121982
30.1	0.0119577
30.2	0.0117245
30.3	0.0114932
30.4	0.0112643
30.5	0.0110375
30.6	0.0108111
30.7	0.0105882
30.8	0.0103723
30.9	0.0101682
31	0.0099772
31.1	0.00979423
31.2	0.00961405
31.3	0.00943691
31.4	0.00926006
31.5	0.00908719
31.6	0.00891684
31.7	0.00874778
31.8	0.00858094
31.9	0.00841623
32	0.00825037
32.1	0.00808506
32.2	0.00792194
32.3	0.00776296
32.4	0.00760641
32.5	0.00745435
32.6	0.00730148
32.7	0.00714954
32.8	0.0070002
32.9	0.00685532
33	0.00670983
33.1	0.0065683
33.2	0.00642769
33.3	0.00628793
33.4	0.00614429
33.5	0.00600152
33.6	0.00585913
33.7	0.00571799
33.8	0.00557433
33.9	0.00542887
34	0.00528177
34.1	0.00513895
34.2	0.00499256
34.3	0.00485322
34.4	0.0047191
34.5	0.00458517
34.6	0.00445193
34.7	0.00431686
34.8	0.00417867
34.9	0.0040449
35	0.00391926
35.1	0.00380227
35.2	0.00368492
35.3	0.00356983
35.4	0.00345931
35.5	0.0033494
35.6	0.00324061
35.7	0.00313783
35.8	0.0030374
35.9	0.00294049
36	0.00284735
36.1	0.00275639
36.2	0.00266755
36.3	0.00258476
36.4	0.00250482
36.5	0.00242456
36.6	0.00234072
36.7	0.002252
36.8	0.00216457
36.9	0.00207763
37	0.0019932
37.1	0.00190859
37.2	0.0018241
37.3	0.0017383
37.4	0.00164541
37.5	0.00154851
37.6	0.00144982
37.7	0.00134737
37.8	0.00124197
37.9	0.00113653
38	0.00102928
38.1	0.00091941
38.2	0.000812196
38.3	0.000708954
38.4	0.00060962
38.5	0.000513246
38.6	0.000423835
38.7	0.000339642
38.8	0.000260954
38.9	0.000185623
39	0.000114269
39.1	4.83244e-05
39.2	-1.78573e-05
39.3	-8.53735e-05
39.4	-0.000146841
39.5	-0.000203214
39.6	-0.000256892
39.7	-0.00030714
39.8	-0.000357036
39.9	-0.000401515
40	-0.000438278
40.1	-0.00046661
40.2	-0.000489784
40.3	-0.000515964
40.4	-0.000542606
