LagTime	Correlation

0	0.669651
0.1	0.664631
0.2	0.657146
0.3	0.649111
0.4	0.641007
0.5	0.63296
0.6	0.625003
0.7	0.617143
0.8	0.609386
0.9	0.601726
1	0.594166
1.1	0.586694
1.2	0.579311
1.3	0.572011
1.4	0.564802
1.5	0.557687
1.6	0.550664
1.7	0.543734
1.8	0.536893
1.9	0.530138
2	0.52347
2.1	0.516885
2.2	0.510383
2.3	0.503957
2.4	0.497609
2.5	0.491338
2.6	0.485148
2.7	0.47904
2.8	0.473013
2.9	0.467062
3	0.461191
3.1	0.455395
3.2	0.449681
3.3	0.444041
3.4	0.438474
3.5	0.432976
3.6	0.427543
3.7	0.422173
3.8	0.416869
3.9	0.41163
4	0.406458
4.1	0.401342
4.2	0.396285
4.3	0.391291
4.4	0.386358
4.5	0.381484
4.6	0.376674
4.7	0.371924
4.8	0.367232
4.9	0.3626
5	0.358024
5.1	0.353505
5.2	0.349043
5.3	0.344632
5.4	0.340277
5.5	0.335981
5.6	0.331738
5.7	0.32755
5.8	0.323414
5.9	0.319333
6	0.31531
6.1	0.311342
6.2	0.30743
6.3	0.30357
6.4	0.29976
6.5	0.295999
6.6	0.292285
6.7	0.288622
6.8	0.285006
6.9	0.281437
7	0.277913
7.1	0.274436
7.2	0.271003
7.3	0.267609
7.4	0.264259
7.5	0.260952
7.6	0.257691
7.7	0.254481
7.8	0.251314
7.9	0.248188
8	0.245106
8.1	0.242066
8.2	0.239065
8.3	0.236103
8.4	0.233179
8.5	0.230287
8.6	0.227424
8.7	0.22459
8.8	0.221795
8.9	0.219037
9	0.216314
9.1	0.213627
9.2	0.210972
9.3	0.208349
9.4	0.205764
9.5	0.203216
9.6	0.200702
9.7	0.198219
9.8	0.195767
9.9	0.193352
10	0.190976
10.1	0.188632
10.2	0.186316
10.3	0.184034
10.4	0.181778
10.5	0.179552
10.6	0.177354
10.7	0.175181
10.8	0.173033
10.9	0.170909
11	0.168803
11.1	0.166719
