LagTime	Correlation

0	0.676268
0.1	0.671247
0.2	0.66376
0.3	0.655725
0.4	0.647624
0.5	0.639581
0.6	0.631625
0.7	0.623765
0.8	0.615994
0.9	0.608324
1	0.600751
1.1	0.593276
1.2	0.585896
1.3	0.578608
1.4	0.571408
1.5	0.5643
1.6	0.557279
1.7	0.550347
1.8	0.543502
1.9	0.536742
2	0.530065
2.1	0.523477
2.2	0.516969
2.3	0.510541
2.4	0.504196
2.5	0.497931
2.6	0.491744
2.7	0.485633
2.8	0.4796
2.9	0.473644
3	0.467769
3.1	0.461959
3.2	0.456219
3.3	0.450552
3.4	0.444954
3.5	0.439428
3.6	0.433968
3.7	0.428574
3.8	0.423252
3.9	0.418001
4	0.412815
4.1	0.407697
4.2	0.402642
4.3	0.397652
4.4	0.392725
4.5	0.387858
4.6	0.383056
4.7	0.378313
4.8	0.373631
4.9	0.369013
5	0.364456
5.1	0.359953
5.2	0.355506
5.3	0.351113
5.4	0.346776
5.5	0.342496
5.6	0.338267
5.7	0.334086
5.8	0.329953
5.9	0.32587
6	0.321836
6.1	0.317852
6.2	0.31392
6.3	0.310039
6.4	0.306204
6.5	0.302409
6.6	0.298663
6.7	0.294963
6.8	0.291308
6.9	0.287703
7	0.28414
7.1	0.280617
7.2	0.277138
7.3	0.273701
7.4	0.270308
7.5	0.266958
7.6	0.263645
7.7	0.260373
7.8	0.25714
7.9	0.253944
8	0.250788
8.1	0.24767
8.2	0.244592
8.3	0.241551
8.4	0.238545
8.5	0.235577
8.6	0.232642
8.7	0.229737
8.8	0.226861
8.9	0.224016
9	0.221206
9.1	0.21843
9.2	0.215686
9.3	0.212976
9.4	0.210298
9.5	0.207651
9.6	0.205037
9.7	0.202453
9.8	0.1999
9.9	0.197385
10	0.19491
10.1	0.19247
10.2	0.190062
10.3	0.187686
10.4	0.185338
10.5	0.183015
10.6	0.18072
10.7	0.178452
10.8	0.176213
10.9	0.174003
11	0.171823
11.1	0.169671
11.2	0.167548
11.3	0.165453
11.4	0.163382
11.5	0.161335
11.6	0.159309
11.7	0.157305
11.8	0.155328
11.9	0.153378
12	0.151454
12.1	0.149555
12.2	0.147682
12.3	0.145831
12.4	0.144007
12.5	0.142213
12.6	0.140445
12.7	0.138695
12.8	0.136966
12.9	0.135258
13	0.13357
13.1	0.131898
13.2	0.130245
13.3	0.128615
13.4	0.127012
13.5	0.125433
13.6	0.123877
13.7	0.12235
13.8	0.120849
13.9	0.119372
14	0.117911
14.1	0.116469
14.2	0.115047
14.3	0.11364
14.4	0.112244
14.5	0.110863
14.6	0.1095
14.7	0.108155
14.8	0.106827
14.9	0.105518
15	0.104224
15.1	0.102945
15.2	0.101687
15.3	0.100447
15.4	0.0992203
15.5	0.0980065
15.6	0.0968049
15.7	0.0956155
15.8	0.0944411
15.9	0.0932814
16	0.0921354
16.1	0.0910003
16.2	0.0898747
16.3	0.0887597
16.4	0.087656
16.5	0.0865635
16.6	0.0854853
16.7	0.084425
16.8	0.0833793
16.9	0.0823479
17	0.0813349
17.1	0.0803384
17.2	0.0793546
17.3	0.0783816
17.4	0.0774182
17.5	0.0764648
17.6	0.0755272
17.7	0.0746038
17.8	0.0736936
17.9	0.0727969
18	0.0719119
18.1	0.0710349
18.2	0.0701658
18.3	0.0693038
18.4	0.0684493
18.5	0.0676007
18.6	0.0667535
18.7	0.0659144
18.8	0.0650822
18.9	0.0642561
19	0.06344
19.1	0.0626359
19.2	0.0618451
19.3	0.061064
19.4	0.0602941
19.5	0.0595318
19.6	0.0587761
19.7	0.0580306
19.8	0.057297
19.9	0.056575
20	0.0558635
20.1	0.0551578
20.2	0.054459
20.3	0.0537628
20.4	0.0530681
20.5	0.0523801
20.6	0.0517099
20.7	0.0510526
20.8	0.0504049
20.9	0.0497644
21	0.0491313
21.1	0.0485081
21.2	0.0478911
21.3	0.0472796
21.4	0.0466763
21.5	0.0460808
21.6	0.0454901
21.7	0.0449039
21.8	0.044324
21.9	0.0437502
22	0.043181
22.1	0.0426151
22.2	0.0420549
22.3	0.041507
22.4	0.0409755
22.5	0.0404534
22.6	0.0399379
22.7	0.0394317
22.8	0.0389323
22.9	0.0384371
23	0.0379516
23.1	0.037469
23.2	0.0369929
23.3	0.0365297
23.4	0.0360742
23.5	0.0356217
23.6	0.0351752
23.7	0.0347358
23.8	0.0343038
23.9	0.0338809
24	0.0334682
24.1	0.0330675
24.2	0.0326766
24.3	0.0322945
24.4	0.0319152
24.5	0.0315393
24.6	0.031169
24.7	0.0308029
24.8	0.0304385
24.9	0.0300713
25	0.0297031
25.1	0.0293355
25.2	0.0289635
25.3	0.0285864
25.4	0.028206
25.5	0.0278285
25.6	0.0274548
25.7	0.027089
25.8	0.0267344
25.9	0.0263856
26	0.0260441
26.1	0.0257059
26.2	0.0253719
26.3	0.0250407
26.4	0.0247161
26.5	0.024401
26.6	0.0240897
26.7	0.0237817
